Key:[1603] Value:[4992 4992]
Key:[47] Value:[126 264]
Key:[345] Value:[838 1054]
Key:[65] Value:[163 163]
Key:[1146] Value:[3218 3218]
Key:[35] Value:[98 229]
Key:[385] Value:[976 1136]
Key:[19] Value:[42 42]
Key:[1377] Value:[4099 4123]
Key:[1247] Value:[3613 3614]
Key:[749] Value:[2012 2116]
Key:[121] Value:[253 1586]
Key:[1572] Value:[4852 4852]
Key:[18] Value:[37 3811]
Key:[299] Value:[712 2413]
Key:[479] Value:[1234 1237]
Key:[1459] Value:[4439 4439]
Key:[656] Value:[1730 1730]
Key:[1419] Value:[4298 4298]
Key:[909] Value:[2512 2512]
Key:[46] Value:[122 1176]
Key:[769] Value:[2073 2083]
Key:[27] Value:[78 78]
Key:[287] Value:[691 3437]
Key:[104] Value:[221 221]
Key:[935] Value:[2607 2607]
Key:[176] Value:[394 394]
Key:[1093] Value:[3068 3068]
Key:[11] Value:[21 592]
Key:[29] Value:[84 4964]
Key:[102] Value:[218 2813]
Key:[847] Value:[2315 2831]
Key:[13] Value:[24 2110]
Key:[644] Value:[1708 4781]
Key:[911] Value:[2516 3826]
Key:[197] Value:[450 3194]
Key:[93] Value:[205 205]
Key:[3] Value:[3 175]
Key:[1393] Value:[4198 4883]
Key:[113] Value:[238 3069]
Key:[318] Value:[758 758]
Key:[340] Value:[831 831]
Key:[9] Value:[17 69]
Key:[993] Value:[2765 2765]
Key:[28] Value:[83 83]
Key:[248] Value:[584 584]
Key:[167] Value:[356 1573]
Key:[354] Value:[865 865]
Key:[490] Value:[1258 1258]
Key:[1161] Value:[3247 4791]
Key:[14] Value:[27 318]
Key:[361] Value:[891 891]
Key:[79] Value:[183 4521]
Key:[276] Value:[672 4803]
Key:[1037] Value:[2882 2882]
Key:[748] Value:[2010 2010]
Key:[82] Value:[186 193]
Key:[407] Value:[1061 1061]
Key:[235] Value:[528 528]
Key:[1605] Value:[4997 4997]
Key:[1461] Value:[4444 4468]
Key:[598] Value:[1601 1601]
Key:[617] Value:[1641 1960]
Key:[1450] Value:[4414 4414]
Key:[1427] Value:[4334 4334]
Key:[133] Value:[286 287]
Key:[142] Value:[303 4286]
Key:[181] Value:[401 470]
Key:[311] Value:[735 735]
Key:[135] Value:[290 293]
Key:[145] Value:[311 311]
Key:[1540] Value:[4736 4736]
Key:[155] Value:[340 4949]
Key:[62] Value:[156 156]
Key:[1413] Value:[4270 4270]
Key:[4] Value:[4 4]
Key:[1331] Value:[3909 3909]
Key:[790] Value:[2133 2143]
Key:[1017] Value:[2825 3371]
Key:[286] Value:[690 690]
Key:[59] Value:[151 151]
Key:[441] Value:[1132 1132]
Key:[397] Value:[1018 1018]
Key:[265] Value:[624 624]
Key:[1249] Value:[3625 3625]
Key:[38] Value:[103 857]
Key:[296] Value:[708 3522]
Key:[720] Value:[1876 1876]
Key:[32] Value:[89 89]
Key:[1438] Value:[4380 4380]
Key:[301] Value:[714 3917]
Key:[593] Value:[1589 1589]
Key:[642] Value:[1705 1930]
Key:[295] Value:[707 707]
Key:[933] Value:[2605 2605]
Key:[136] Value:[291 2521]
Key:[375] Value:[927 927]
Key:[320] Value:[762 4892]
Key:[1599] Value:[4979 4980]
Key:[16] Value:[34 4461]
Key:[1381] Value:[4125 4125]
Key:[1325] Value:[3897 3911]
Key:[724] Value:[1885 2436]
Key:[2] Value:[2 3933]
Key:[1066] Value:[2958 2958]
Key:[513] Value:[1323 1323]
Key:[239] Value:[546 546]
Key:[1048] Value:[2901 2902]
Key:[834] Value:[2273 2284]
Key:[314] Value:[745 745]
Key:[15] Value:[33 56]
Key:[60] Value:[153 4433]
Key:[1089] Value:[3053 3053]
Key:[348] Value:[844 3958]
Key:[643] Value:[1707 1707]
Key:[795] Value:[2153 2301]
Key:[609] Value:[1623 2456]
Key:[930] Value:[2582 2582]
Key:[647] Value:[1711 1711]
Key:[698] Value:[1809 1809]
Key:[1497] Value:[4587 4994]
Key:[43] Value:[111 321]
Key:[731] Value:[1934 1935]
Key:[117] Value:[242 242]
Key:[7] Value:[9 1069]
Key:[922] Value:[2562 2562]
Key:[224] Value:[502 502]
Key:[472] Value:[1205 1205]
Key:[1527] Value:[4698 4698]
Key:[195] Value:[445 445]
Key:[179] Value:[399 399]
Key:[363] Value:[898 919]
Key:[187] Value:[421 421]
Key:[294] Value:[702 702]
Key:[128] Value:[278 278]
Key:[54] Value:[140 140]
Key:[1350] Value:[3966 3966]
Key:[24] Value:[71 4850]
Key:[686] Value:[1780 1780]
Key:[58] Value:[149 587]
Key:[460] Value:[1182 3059]
Key:[23] Value:[63 63]
Key:[1334] Value:[3923 4664]
Key:[158] Value:[345 4438]
Key:[274] Value:[653 3623]
Key:[358] Value:[879 1598]
Key:[96] Value:[211 211]
Key:[356] Value:[876 876]
Key:[734] Value:[1942 4408]
Key:[327] Value:[786 786]
Key:[349] Value:[846 1618]
Key:[685] Value:[1778 4724]
Key:[33] Value:[96 3524]
Key:[267] Value:[630 1129]
Key:[198] Value:[451 451]
Key:[73] Value:[173 173]
Key:[126] Value:[274 274]
Key:[987] Value:[2750 2750]
Key:[85] Value:[190 4891]
Key:[1097] Value:[3083 3843]
Key:[40] Value:[105 119]
Key:[291] Value:[698 3844]
Key:[453] Value:[1158 4965]
Key:[180] Value:[400 4420]
Key:[521] Value:[1366 1366]
Key:[1281] Value:[3744 3744]
Key:[699] Value:[1810 2127]
Key:[317] Value:[757 4739]
Key:[323] Value:[768 1081]
Key:[263] Value:[622 4299]
Key:[1554] Value:[4779 4779]
Key:[1505] Value:[4626 4626]
Key:[630] Value:[1675 1675]
Key:[1218] Value:[3476 3476]
Key:[177] Value:[396 396]
Key:[634] Value:[1682 1682]
Key:[706] Value:[1835 3315]
Key:[36] Value:[99 99]
Key:[86] Value:[191 230]
Key:[1397] Value:[4219 4422]
Key:[859] Value:[2352 3139]
Key:[98] Value:[213 213]
Key:[8] Value:[13 82]
Key:[937] Value:[2614 2809]
Key:[537] Value:[1437 1437]
Key:[74] Value:[174 174]
Key:[1375] Value:[4097 4117]
Key:[99] Value:[215 3266]
Key:[171] Value:[372 518]
Key:[592] Value:[1587 1587]
Key:[336] Value:[824 824]
Key:[1486] Value:[4535 4615]
Key:[279] Value:[679 679]
Key:[771] Value:[2076 2076]
Key:[200] Value:[453 453]
Key:[309] Value:[731 922]
Key:[94] Value:[207 207]
Key:[138] Value:[299 3339]
Key:[105] Value:[222 4943]
Key:[108] Value:[228 228]
Key:[1118] Value:[3136 3136]
Key:[723] Value:[1880 1880]
Key:[307] Value:[725 727]
Key:[804] Value:[2191 2191]
Key:[818] Value:[2233 2234]
Key:[464] Value:[1190 1190]
Key:[775] Value:[2094 2146]
Key:[1536] Value:[4730 4730]
Key:[165] Value:[352 358]
Key:[966] Value:[2683 2683]
Key:[366] Value:[902 1596]
Key:[1288] Value:[3773 4152]
Key:[946] Value:[2638 2638]
Key:[110] Value:[232 4605]
Key:[34] Value:[97 97]
Key:[1444] Value:[4395 4417]
Key:[293] Value:[701 1304]
Key:[208] Value:[473 644]
Key:[396] Value:[1008 1035]
Key:[210] Value:[475 3883]
Key:[183] Value:[409 409]
Key:[1192] Value:[3368 3368]
Key:[245] Value:[570 4203]
Key:[118] Value:[243 262]
Key:[162] Value:[349 349]
Key:[1183] Value:[3329 3338]
Key:[810] Value:[2205 2205]
Key:[119] Value:[244 244]
Key:[230] Value:[516 1706]
Key:[994] Value:[2769 2939]
Key:[188] Value:[426 1167]
Key:[1069] Value:[2973 2973]
Key:[122] Value:[259 3458]
Key:[253] Value:[604 604]
Key:[759] Value:[2047 2047]
Key:[205] Value:[469 469]
Key:[649] Value:[1714 1714]
Key:[123] Value:[266 3842]
Key:[1502] Value:[4616 4616]
Key:[130] Value:[280 1572]
Key:[820] Value:[2241 2241]
Key:[631] Value:[1677 2051]
Key:[223] Value:[500 500]
Key:[153] Value:[337 900]
Key:[1056] Value:[2924 2977]
Key:[624] Value:[1658 1658]
Key:[193] Value:[439 4646]
Key:[682] Value:[1769 1769]
Key:[352] Value:[860 860]
Key:[653] Value:[1719 1719]
Key:[127] Value:[277 277]
Key:[75] Value:[176 2990]
Key:[131] Value:[281 281]
Key:[312] Value:[737 737]
Key:[379] Value:[942 942]
Key:[929] Value:[2579 3051]
Key:[282] Value:[682 1046]
Key:[246] Value:[575 575]
Key:[633] Value:[1681 1681]
Key:[394] Value:[1001 2471]
Key:[714] Value:[1852 1852]
Key:[80] Value:[184 4546]
Key:[454] Value:[1159 1159]
Key:[494] Value:[1272 2317]
Key:[71] Value:[169 309]
Key:[1286] Value:[3762 3762]
Key:[857] Value:[2345 2345]
Key:[807] Value:[2196 3459]
Key:[1571] Value:[4851 4851]
Key:[1496] Value:[4567 4767]
Key:[838] Value:[2280 3494]
Key:[69] Value:[167 167]
Key:[120] Value:[245 4061]
Key:[371] Value:[913 913]
Key:[733] Value:[1940 1940]
Key:[140] Value:[301 301]
Key:[392] Value:[996 996]
Key:[761] Value:[2054 2054]
Key:[1513] Value:[4649 4649]
Key:[249] Value:[588 588]
Key:[26] Value:[76 4995]
Key:[588] Value:[1569 1570]
Key:[403] Value:[1042 1042]
Key:[41] Value:[106 1525]
Key:[191] Value:[431 431]
Key:[5] Value:[6 29]
Key:[353] Value:[863 863]
Key:[150] Value:[328 328]
Key:[876] Value:[2414 2414]
Key:[860] Value:[2354 2354]
Key:[836] Value:[2277 2277]
Key:[650] Value:[1715 3188]
Key:[1353] Value:[3977 3977]
Key:[152] Value:[336 2298]
Key:[398] Value:[1021 1021]
Key:[68] Value:[166 4595]
Key:[20] Value:[45 77]
Key:[112] Value:[235 706]
Key:[487] Value:[1253 1253]
Key:[899] Value:[2496 2496]
Key:[676] Value:[1763 1763]
Key:[154] Value:[338 3828]
Key:[1481] Value:[4527 4527]
Key:[1101] Value:[3089 3089]
Key:[244] Value:[565 565]
Key:[794] Value:[2151 2152]
Key:[1337] Value:[3939 3939]
Key:[157] Value:[344 4856]
Key:[203] Value:[460 4264]
Key:[511] Value:[1312 1475]
Key:[1440] Value:[4383 4383]
Key:[878] Value:[2423 2423]
Key:[518] Value:[1354 1360]
Key:[369] Value:[910 910]
Key:[315] Value:[751 751]
Key:[227] Value:[506 883]
Key:[605] Value:[1611 1611]
Key:[1176] Value:[3311 3666]
Key:[159] Value:[346 2774]
Key:[164] Value:[351 3578]
Key:[459] Value:[1179 1186]
Key:[1385] Value:[4158 4158]
Key:[1207] Value:[3419 3419]
Key:[335] Value:[822 822]
Key:[386] Value:[978 978]
Key:[595] Value:[1591 1591]
Key:[339] Value:[830 830]
Key:[787] Value:[2121 3841]
Key:[161] Value:[348 348]
Key:[319] Value:[761 932]
Key:[1036] Value:[2881 2881]
Key:[526] Value:[1382 1382]
Key:[536] Value:[1436 4841]
Key:[166] Value:[353 353]
Key:[1408] Value:[4261 4261]
Key:[168] Value:[359 3553]
Key:[409] Value:[1064 1064]
Key:[1482] Value:[4530 4530]
Key:[221] Value:[496 4288]
Key:[174] Value:[385 505]
Key:[556] Value:[1506 1506]
Key:[1278] Value:[3733 3734]
Key:[292] Value:[700 3782]
Key:[583] Value:[1559 4657]
Key:[175] Value:[388 398]
Key:[1239] Value:[3574 3610]
Key:[250] Value:[590 676]
Key:[425] Value:[1109 1109]
Key:[1582] Value:[4922 4922]
Key:[705] Value:[1834 1834]
Key:[1042] Value:[2892 2892]
Key:[185] Value:[415 3736]
Key:[228] Value:[509 3407]
Key:[186] Value:[418 419]
Key:[726] Value:[1904 1967]
Key:[362] Value:[897 1539]
Key:[190] Value:[428 975]
Key:[942] Value:[2624 2625]
Key:[42] Value:[109 109]
Key:[580] Value:[1555 1555]
Key:[996] Value:[2773 3056]
Key:[678] Value:[1765 2198]
Key:[1284] Value:[3760 3760]
Key:[421] Value:[1092 3032]
Key:[229] Value:[512 512]
Key:[465] Value:[1191 3620]
Key:[192] Value:[438 3655]
Key:[404] Value:[1051 4835]
Key:[1548] Value:[4754 4754]
Key:[194] Value:[441 1387]
Key:[535] Value:[1432 1470]
Key:[411] Value:[1066 1745]
Key:[1149] Value:[3226 3226]
Key:[900] Value:[2497 2497]
Key:[297] Value:[709 709]
Key:[381] Value:[946 1048]
Key:[412] Value:[1068 1068]
Key:[237] Value:[542 542]
Key:[493] Value:[1267 1267]
Key:[116] Value:[241 4687]
Key:[413] Value:[1073 1073]
Key:[1130] Value:[3170 3170]
Key:[417] Value:[1084 4205]
Key:[1489] Value:[4548 4548]
Key:[419] Value:[1087 1087]
Key:[613] Value:[1632 4503]
Key:[1421] Value:[4304 4481]
Key:[53] Value:[137 150]
Key:[420] Value:[1089 3502]
Key:[508] Value:[1309 1309]
Key:[422] Value:[1094 2472]
Key:[919] Value:[2542 2542]
Key:[448] Value:[1142 1680]
Key:[424] Value:[1105 3856]
Key:[1227] Value:[3532 3532]
Key:[1110] Value:[3110 3110]
Key:[426] Value:[1110 4473]
Key:[427] Value:[1113 4040]
Key:[1466] Value:[4459 4462]
Key:[531] Value:[1402 1414]
Key:[1006] Value:[2798 4723]
Key:[429] Value:[1115 1115]
Key:[1506] Value:[4632 4632]
Key:[877] Value:[2417 2417]
Key:[430] Value:[1116 1116]
Key:[855] Value:[2334 4341]
Key:[432] Value:[1118 1118]
Key:[433] Value:[1119 1119]
Key:[1475] Value:[4501 4501]
Key:[434] Value:[1120 1392]
Key:[439] Value:[1130 1165]
Key:[435] Value:[1122 1123]
Key:[982] Value:[2740 4042]
Key:[436] Value:[1124 1923]
Key:[1524] Value:[4694 4903]
Key:[438] Value:[1127 1128]
Key:[440] Value:[1131 1144]
Key:[504] Value:[1295 1295]
Key:[442] Value:[1133 1133]
Key:[443] Value:[1134 1134]
Key:[1391] Value:[4195 4339]
Key:[445] Value:[1137 2245]
Key:[1092] Value:[3065 3065]
Key:[880] Value:[2432 2432]
Key:[789] Value:[2129 2129]
Key:[450] Value:[1151 1151]
Key:[1594] Value:[4953 4953]
Key:[451] Value:[1152 1152]
Key:[1112] Value:[3112 3112]
Key:[780] Value:[2106 4864]
Key:[452] Value:[1156 1156]
Key:[645] Value:[1709 1709]
Key:[1485] Value:[4534 4534]
Key:[456] Value:[1173 1173]
Key:[462] Value:[1187 1187]
Key:[1464] Value:[4455 4455]
Key:[533] Value:[1408 1449]
Key:[449] Value:[1148 1149]
Key:[468] Value:[1198 1198]
Key:[469] Value:[1199 4952]
Key:[470] Value:[1202 3477]
Key:[1212] Value:[3439 3673]
Key:[471] Value:[1203 4255]
Key:[473] Value:[1209 1209]
Key:[474] Value:[1214 1227]
Key:[196] Value:[449 449]
Key:[478] Value:[1233 1233]
Key:[467] Value:[1196 1196]
Key:[480] Value:[1235 4338]
Key:[551] Value:[1491 1491]
Key:[1495] Value:[4560 4613]
Key:[219] Value:[490 511]
Key:[607] Value:[1617 1617]
Key:[70] Value:[168 168]
Key:[360] Value:[889 1241]
Key:[481] Value:[1238 1271]
Key:[979] Value:[2717 2717]
Key:[482] Value:[1243 3027]
Key:[1411] Value:[4268 4268]
Key:[495] Value:[1273 1273]
Key:[641] Value:[1704 3778]
Key:[483] Value:[1244 2405]
Key:[488] Value:[1255 1255]
Key:[530] Value:[1397 1397]
Key:[238] Value:[543 749]
Key:[489] Value:[1257 1257]
Key:[491] Value:[1259 4393]
Key:[1184] Value:[3337 3360]
Key:[492] Value:[1266 1266]
Key:[1196] Value:[3375 3375]
Key:[1084] Value:[3025 3025]
Key:[926] Value:[2572 4764]
Key:[687] Value:[1781 1781]
Key:[496] Value:[1280 1280]
Key:[380] Value:[943 2461]
Key:[497] Value:[1284 1284]
Key:[498] Value:[1286 1286]
Key:[501] Value:[1290 2915]
Key:[618] Value:[1643 1643]
Key:[753] Value:[2035 2035]
Key:[502] Value:[1292 1292]
Key:[506] Value:[1299 1299]
Key:[510] Value:[1311 3968]
Key:[512] Value:[1313 2393]
Key:[514] Value:[1326 1384]
Key:[1080] Value:[3010 3010]
Key:[582] Value:[1558 1558]
Key:[1604] Value:[4993 4993]
Key:[1356] Value:[3990 3990]
Key:[515] Value:[1327 4528]
Key:[576] Value:[1546 1546]
Key:[516] Value:[1337 1337]
Key:[517] Value:[1342 1342]
Key:[538] Value:[1444 1508]
Key:[519] Value:[1359 1359]
Key:[640] Value:[1702 3653]
Key:[666] Value:[1748 1748]
Key:[1303] Value:[3827 3827]
Key:[146] Value:[320 320]
Key:[523] Value:[1369 1895]
Key:[1211] Value:[3435 3435]
Key:[525] Value:[1380 1380]
Key:[529] Value:[1388 1396]
Key:[863] Value:[2373 2373]
Key:[534] Value:[1417 1417]
Key:[892] Value:[2474 2474]
Key:[540] Value:[1464 1464]
Key:[541] Value:[1465 1465]
Key:[1519] Value:[4676 4676]
Key:[543] Value:[1471 1472]
Key:[1085] Value:[3033 4838]
Key:[87] Value:[194 194]
Key:[817] Value:[2231 2274]
Key:[546] Value:[1479 1479]
Key:[1388] Value:[4171 4589]
Key:[1370] Value:[4055 4055]
Key:[553] Value:[1500 1540]
Key:[548] Value:[1481 1980]
Key:[1152] Value:[3231 4257]
Key:[549] Value:[1486 2600]
Key:[574] Value:[1543 2612]
Key:[550] Value:[1488 1498]
Key:[968] Value:[2685 2686]
Key:[590] Value:[1578 1578]
Key:[1199] Value:[3386 3421]
Key:[555] Value:[1505 4531]
Key:[364] Value:[899 899]
Key:[557] Value:[1509 2766]
Key:[275] Value:[669 1629]
Key:[554] Value:[1501 1501]
Key:[558] Value:[1512 3787]
Key:[89] Value:[196 199]
Key:[559] Value:[1513 4293]
Key:[1564] Value:[4815 4815]
Key:[560] Value:[1515 1515]
Key:[1409] Value:[4265 4811]
Key:[587] Value:[1567 1567]
Key:[563] Value:[1519 1583]
Key:[109] Value:[231 479]
Key:[552] Value:[1496 2099]
Key:[564] Value:[1521 1521]
Key:[565] Value:[1522 1818]
Key:[124] Value:[267 267]
Key:[668] Value:[1752 1752]
Key:[568] Value:[1531 3912]
Key:[1452] Value:[4419 4419]
Key:[679] Value:[1766 3940]
Key:[569] Value:[1533 1533]
Key:[1215] Value:[3465 4442]
Key:[570] Value:[1536 1536]
Key:[1285] Value:[3761 4601]
Key:[571] Value:[1537 4390]
Key:[572] Value:[1541 1541]
Key:[948] Value:[2642 2642]
Key:[12] Value:[23 1609]
Key:[573] Value:[1542 1576]
Key:[1457] Value:[4430 4430]
Key:[691] Value:[1790 1790]
Key:[160] Value:[347 347]
Key:[577] Value:[1549 1563]
Key:[1256] Value:[3654 4057]
Key:[581] Value:[1557 1557]
Key:[885] Value:[2448 2448]
Key:[584] Value:[1561 1561]
Key:[1441] Value:[4384 4401]
Key:[586] Value:[1565 3675]
Key:[589] Value:[1577 1584]
Key:[712] Value:[1843 1843]
Key:[591] Value:[1580 1580]
Key:[256] Value:[608 832]
Key:[594] Value:[1590 2569]
Key:[940] Value:[2619 3629]
Key:[596] Value:[1595 3631]
Key:[871] Value:[2396 2559]
Key:[597] Value:[1600 1600]
Key:[1402] Value:[4237 4249]
Key:[599] Value:[1602 1615]
Key:[830] Value:[2268 2268]
Key:[600] Value:[1604 1604]
Key:[602] Value:[1606 4670]
Key:[1115] Value:[3121 3121]
Key:[220] Value:[494 2568]
Key:[603] Value:[1608 1608]
Key:[1244] Value:[3589 3600]
Key:[936] Value:[2613 2613]
Key:[606] Value:[1613 1644]
Key:[170] Value:[370 2473]
Key:[608] Value:[1619 2318]
Key:[437] Value:[1126 1126]
Key:[611] Value:[1627 1627]
Key:[1585] Value:[4935 4935]
Key:[751] Value:[2025 2025]
Key:[614] Value:[1633 1638]
Key:[0] Value:[0 125]
Key:[616] Value:[1640 1701]
Key:[1417] Value:[4281 4281]
Key:[619] Value:[1650 2249]
Key:[1541] Value:[4738 4738]
Key:[1320] Value:[3875 4967]
Key:[151] Value:[329 3889]
Key:[461] Value:[1183 1183]
Key:[711] Value:[1842 1842]
Key:[865] Value:[2387 2387]
Key:[620] Value:[1652 1652]
Key:[1123] Value:[3151 3151]
Key:[621] Value:[1654 3592]
Key:[527] Value:[1383 1978]
Key:[622] Value:[1655 4050]
Key:[1563] Value:[4812 4812]
Key:[623] Value:[1657 1657]
Key:[1201] Value:[3388 3388]
Key:[774] Value:[2087 2087]
Key:[626] Value:[1668 1668]
Key:[418] Value:[1086 1086]
Key:[149] Value:[327 327]
Key:[627] Value:[1670 1671]
Key:[601] Value:[1605 1605]
Key:[629] Value:[1674 3366]
Key:[632] Value:[1678 3347]
Key:[896] Value:[2488 3005]
Key:[635] Value:[1685 1867]
Key:[636] Value:[1688 2879]
Key:[638] Value:[1693 1693]
Key:[671] Value:[1756 1756]
Key:[1602] Value:[4991 4991]
Key:[182] Value:[402 402]
Key:[752] Value:[2026 2026]
Key:[646] Value:[1710 1710]
Key:[648] Value:[1712 1712]
Key:[652] Value:[1717 4765]
Key:[655] Value:[1723 3490]
Key:[680] Value:[1767 1767]
Key:[1584] Value:[4932 4932]
Key:[840] Value:[2282 2282]
Key:[612] Value:[1630 1695]
Key:[657] Value:[1731 1731]
Key:[658] Value:[1732 3105]
Key:[1367] Value:[4049 4173]
Key:[289] Value:[695 3215]
Key:[659] Value:[1733 1733]
Key:[660] Value:[1734 1742]
Key:[1031] Value:[2868 2868]
Key:[639] Value:[1699 1699]
Key:[247] Value:[577 577]
Key:[661] Value:[1737 1737]
Key:[1234] Value:[3561 3719]
Key:[662] Value:[1743 1743]
Key:[793] Value:[2148 2176]
Key:[1238] Value:[3572 3572]
Key:[664] Value:[1746 1746]
Key:[6] Value:[8 1189]
Key:[778] Value:[2104 2104]
Key:[1504] Value:[4620 4620]
Key:[665] Value:[1747 1747]
Key:[1001] Value:[2786 2786]
Key:[669] Value:[1753 1753]
Key:[670] Value:[1754 1754]
Key:[674] Value:[1760 1760]
Key:[675] Value:[1761 1761]
Key:[677] Value:[1764 1764]
Key:[55] Value:[142 661]
Key:[243] Value:[562 562]
Key:[681] Value:[1768 1768]
Key:[684] Value:[1776 1776]
Key:[1480] Value:[4524 4524]
Key:[688] Value:[1783 3409]
Key:[304] Value:[718 718]
Key:[689] Value:[1784 3028]
Key:[266] Value:[625 625]
Key:[812] Value:[2219 2219]
Key:[690] Value:[1788 1788]
Key:[695] Value:[1803 1803]
Key:[692] Value:[1794 4832]
Key:[52] Value:[135 4737]
Key:[693] Value:[1797 2669]
Key:[1209] Value:[3424 3424]
Key:[700] Value:[1811 1811]
Key:[1229] Value:[3540 3540]
Key:[803] Value:[2187 2187]
Key:[1299] Value:[3808 3808]
Key:[701] Value:[1817 1817]
Key:[921] Value:[2560 2824]
Key:[704] Value:[1831 1831]
Key:[1194] Value:[3373 3780]
Key:[125] Value:[273 4954]
Key:[708] Value:[1837 2287]
Key:[610] Value:[1625 1625]
Key:[709] Value:[1840 1840]
Key:[428] Value:[1114 4174]
Key:[713] Value:[1844 1844]
Key:[522] Value:[1367 1399]
Key:[741] Value:[1979 1979]
Key:[716] Value:[1855 2235]
Key:[303] Value:[716 4691]
Key:[172] Value:[373 373]
Key:[615] Value:[1636 4931]
Key:[809] Value:[2201 3730]
Key:[848] Value:[2321 3365]
Key:[717] Value:[1861 1861]
Key:[718] Value:[1863 1863]
Key:[719] Value:[1872 1872]
Key:[721] Value:[1877 4826]
Key:[883] Value:[2443 2443]
Key:[738] Value:[1955 4229]
Key:[95] Value:[208 4706]
Key:[722] Value:[1878 4837]
Key:[1052] Value:[2914 2914]
Key:[861] Value:[2358 2380]
Key:[725] Value:[1898 4983]
Key:[90] Value:[198 2603]
Key:[729] Value:[1916 1916]
Key:[1145] Value:[3212 3212]
Key:[83] Value:[187 1153]
Key:[730] Value:[1919 2386]
Key:[784] Value:[2117 2213]
Key:[1389] Value:[4187 4187]
Key:[735] Value:[1949 1949]
Key:[736] Value:[1951 1951]
Key:[1180] Value:[3322 3322]
Key:[1071] Value:[2987 2987]
Key:[954] Value:[2652 2652]
Key:[542] Value:[1469 1529]
Key:[739] Value:[1965 1965]
Key:[740] Value:[1972 2755]
Key:[575] Value:[1544 2253]
Key:[475] Value:[1219 1314]
Key:[742] Value:[1983 1983]
Key:[743] Value:[1984 1984]
Key:[211] Value:[476 1594]
Key:[799] Value:[2170 2344]
Key:[484] Value:[1249 1249]
Key:[744] Value:[1991 1991]
Key:[745] Value:[1993 4829]
Key:[746] Value:[1997 2508]
Key:[747] Value:[2003 2079]
Key:[750] Value:[2013 2013]
Key:[1290] Value:[3775 3775]
Key:[754] Value:[2036 2036]
Key:[1550] Value:[4763 4763]
Key:[758] Value:[2045 2093]
Key:[446] Value:[1138 2622]
Key:[760] Value:[2048 2048]
Key:[762] Value:[2056 2056]
Key:[763] Value:[2063 4636]
Key:[764] Value:[2064 2075]
Key:[765] Value:[2065 2217]
Key:[1154] Value:[3235 3263]
Key:[819] Value:[2236 2238]
Key:[766] Value:[2066 2066]
Key:[1357] Value:[3995 3995]
Key:[767] Value:[2069 2069]
Key:[416] Value:[1083 4041]
Key:[768] Value:[2070 2070]
Key:[163] Value:[350 1270]
Key:[772] Value:[2077 4673]
Key:[773] Value:[2078 3899]
Key:[1059] Value:[2935 2935]
Key:[776] Value:[2096 2096]
Key:[777] Value:[2098 2098]
Key:[779] Value:[2105 2105]
Key:[782] Value:[2113 2113]
Key:[107] Value:[227 227]
Key:[500] Value:[1288 2950]
Key:[788] Value:[2128 2128]
Key:[924] Value:[2567 2567]
Key:[770] Value:[2074 2674]
Key:[791] Value:[2139 2139]
Key:[1221] Value:[3487 3546]
Key:[792] Value:[2144 2147]
Key:[1041] Value:[2890 2890]
Key:[796] Value:[2158 2158]
Key:[683] Value:[1774 2877]
Key:[797] Value:[2166 2166]
Key:[798] Value:[2169 2489]
Key:[980] Value:[2733 2733]
Key:[800] Value:[2171 2223]
Key:[1186] Value:[3351 3351]
Key:[802] Value:[2186 2186]
Key:[1361] Value:[4007 4007]
Key:[732] Value:[1939 1939]
Key:[805] Value:[2194 4745]
Key:[414] Value:[1080 2967]
Key:[806] Value:[2195 4369]
Key:[1539] Value:[4734 4734]
Key:[344] Value:[837 4538]
Key:[808] Value:[2200 2200]
Key:[811] Value:[2210 2665]
Key:[1079] Value:[3006 3006]
Key:[710] Value:[1841 2481]
Key:[106] Value:[224 317]
Key:[815] Value:[2226 2227]
Key:[988] Value:[2753 2753]
Key:[816] Value:[2229 2229]
Key:[1053] Value:[2916 4905]
Key:[544] Value:[1474 1474]
Key:[821] Value:[2246 4476]
Key:[822] Value:[2255 2255]
